[Header]
Application Name	LabSolutions
Version	5.82
Data File Name	C:\LabSolutions\Data\A Legan\Data\gcd files\data_before_FS19\LadderwithIS_nov_14.gcd
Output Date	4/15/2022
Output Time	7:45:44 AM

[File Information]
Type	Data File
Generated	11/15/2018 12:15:58 PM
Generated by	Administrator
Modified	11/15/2018 1:20:55 PM
Modified by	Administrator

[Sample Information]
Operator Name	Administrator
Acquired	11/15/2018 12:20:51 PM
Sample Type	0:Unknown
Level	0
Sample Name	ladder w/ IS
Sample ID	ladder w/ IS
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	16
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\A Legan\data\LadderwithIS_nov_14.gcd
Method File	C:\LabSolutions\Data\A Legan\AWL Nov 6 ladder.gcm
Batch File	C:\LabSolutions\Data\A Legan\batch_AWL_nov14_overnight.gcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	GC-2014
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	DET#1
Detector Name	SFID1
# of Channels	1

[Peak Table(Ch1)]
# of Peaks	69
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	2.421	1.942	5.974	8803595219	419164142	21.003	0.000	S  			0.000	542	276.529	1.721	0.000	0.000	0	0	0.000	0.000
2	3.584	3.547	3.739	1166762	360507	3.236	0.000	T  			0.480	30080	4.987	1.984	4.663	0.000	0	0	0.000	0.000
3	4.182	4.131	4.439	1416412	399916	3.542	0.000	T  			0.727	37494	4.001	2.001	7.077	1.515	0	0	0.000	0.000
4	4.885	4.789	5.134	1825014	523927	3.483	0.000	T  			1.018	50084	2.995	1.697	8.101	1.400	0	0	0.000	0.000
5	5.730	5.573	5.965	1520983	433521	3.508	0.000	T  			1.366	65331	2.296	1.465	9.543	1.343	0	0	0.000	0.000
6	6.777	6.688	7.057	1531464	419522	3.650	0.000	 V 			1.799	85341	1.758	1.312	11.484	1.317	0	0	0.000	0.000
7	7.544	7.500	7.612	1691	510	3.315	0.000	 V 			2.115	117133	1.281	0.000	8.468	1.176	0	0	0.000	0.000
8	8.074	7.967	8.345	1528547	388800	3.931	0.000	 V 			2.335	103486	1.449	1.171	5.630	1.104	0	0	0.000	0.000
9	8.984	8.937	9.068	2112	518	4.078	0.000	 V 			2.710	117464	1.277	0.000	8.861	1.161	0	0	0.000	0.000
10	9.110	9.068	9.227	1478	247	5.980	0.000	 V 			2.762	43832	3.422	0.000	0.904	1.019	0	0	0.000	0.000
11	9.292	9.227	9.418	1155	122	9.492	0.000	 V 			2.837	3500	42.854	0.000	0.454	1.027	0	0	0.000	0.000
12	9.624	9.418	10.020	1525422	350978	4.346	0.000	SV 			2.974	116015	1.293	1.059	0.895	1.048	0	0	0.000	0.000
13	10.663	10.608	10.757	1170	322	3.636	0.000	   			3.404	199832	0.751	1.377	9.977	1.144	0	0	0.000	0.000
14	11.379	11.238	11.681	1523995	326636	4.666	0.000	 V 			3.699	133943	1.120	0.991	6.512	1.087	0	0	0.000	0.000
15	12.568	12.456	12.629	1482	333	4.450	0.000	   			4.190	202134	0.742	0.000	10.069	1.133	0	0	0.000	0.000
16	13.275	13.119	13.632	1520294	317241	4.792	0.000	SV 			4.482	177701	0.844	0.961	5.948	1.070	0	0	0.000	0.000
17	14.610	14.533	14.761	13056	3219	4.055	0.000	   			5.034	314350	0.477	1.347	11.598	1.123	0	0	0.000	0.000
18	15.240	14.971	15.494	1492747	301081	4.958	0.000	   			5.294	218776	0.686	0.932	5.374	1.052	0	0	0.000	0.000
19	16.774	16.693	16.852	1644	280	5.871	0.000	 V 			5.927	174903	0.858	0.000	10.548	1.120	0	0	0.000	0.000
20	17.220	17.020	17.482	1487901	285890	5.204	0.000	   			6.111	244141	0.614	0.917	2.973	1.031	0	0	0.000	0.000
21	17.946	17.893	18.051	1695	358	4.739	0.000	 V 			6.412	259140	0.579	0.000	5.184	1.049	0	0	0.000	0.000
22	18.497	18.425	18.588	2813	536	5.244	0.000	 V 			6.639	273269	0.549	0.000	3.895	1.035	0	0	0.000	0.000
23	18.663	18.588	18.770	5002	707	7.080	0.000	 V 			6.707	60893	2.463	0.000	0.748	1.010	0	0	0.000	0.000
24	18.830	18.770	18.929	4591	936	4.902	0.000	 V 			6.776	328659	0.456	0.000	0.772	1.010	0	0	0.000	0.000
25	19.181	18.929	19.456	1493887	273705	5.458	0.000	 V 			6.921	263073	0.570	0.893	2.494	1.021	0	0	0.000	0.000
26	19.525	19.456	19.629	1112	230	4.828	0.000	 V 			7.063	365674	0.410	0.000	2.468	1.021	0	0	0.000	0.000
27	20.341	20.249	20.464	1808	343	5.271	0.000	   			7.400	344037	0.436	1.163	6.095	1.048	0	0	0.000	0.000
