RT	Area	Height	Name
3.584	1166762	360507	C9
4.182	1416412	399916	C10
4.885	1825014	523927	C11
5.73	1520983	433521	C12
6.777	1531464	419522	C13
8.074	1528547	388800	C14
9.624	1525422	350978	C15
11.379	1523995	326636	C16
13.275	1520294	317241	C17
15.24	1492747	301081	C18
17.22	1487901	285890	C19
19.181	1493887	273705	C20
21.094	1481604	271635	C21
22.955	1475344	271822	C22
24.752	1469673	271453	C23
26.489	1456005	256971	C24
28.163	1443449	258094	C25
29.782	1443642	255154	C26
31.346	1407254	242278	C27
32.858	1434014	256028	C28
34.324	1398727	248133	C29
35.742	1368446	239239	C30
37.124	1341093	221188	C31
38.467	1349660	218760	C32
39.87	1337965	210097	C33
41.401	1313707	182831	C34
43.114	1260784	161686	C35
45.079	1298399	132300	C36
47.333	1169294	107671	C37
49.977	1185236	91643	C38
53.06	1120681	71296	C39
