[Header]
Application Name	LabSolutions
Version	5.82
Data File Name	C:\LabSolutions\Data\A Legan\Data\gcd files\data_before_FS19\dec4_CF_4.gcd
Output Date	4/15/2022
Output Time	7:45:12 AM

[File Information]
Type	Data File
Generated	12/4/2018 9:48:47 PM
Generated by	Administrator
Modified	12/10/2018 4:15:52 PM
Modified by	Administrator

[Sample Information]
Operator Name	Administrator
Acquired	12/4/2018 9:50:15 PM
Sample Type	0:Unknown
Level	0
Sample Name	CF_4
Sample ID	CF_4
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	1
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\A Legan\data\dec4_CF_4.gcd
Method File	C:\LabSolutions\Data\A Legan\AWL Nov 6 ladder.gcm
Batch File	C:\LabSolutions\Data\A Legan\batch_AWL_dec4_overnight.gcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	GC-2014
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	DET#1
Detector Name	SFID1
# of Channels	1

[Peak Table(Ch1)]
# of Peaks	62
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	4.866	4.812	5.078	673365	195343	3.447	0.000	   	1	RT:4.866	0.000	50660	2.961	1.868	0.000	0.000	0	0	0.000	0.000
2	21.599	21.523	21.761	24023	4230	5.680	0.000	   	2	RT:21.599	3.438	386252	0.388	1.630	148.408	0.000	0	0	0.000	0.000
3	24.520	24.449	24.627	12165	2859	4.255	0.000	   	3	RT:24.520	4.039	757628	0.198	1.209	23.210	1.175	0	0	0.000	0.000
4	26.259	26.171	26.391	43506	10135	4.293	0.000	   	4	RT:26.259	4.396	890586	0.168	1.207	15.522	1.088	0	0	0.000	0.000
5	27.998	27.837	28.173	962307	187512	5.132	0.000	   	5	RT:27.998	4.753	716943	0.209	0.927	14.285	1.081	0	0	0.000	0.000
6	28.489	28.416	28.603	15223	3465	4.393	0.000	   	6	RT:28.489	4.854	954332	0.157	1.289	3.941	1.021	0	0	0.000	0.000
7	29.579	29.457	29.741	368832	81910	4.503	0.000	   	7	RT:29.579	5.078	1047225	0.143	1.078	9.386	1.046	0	0	0.000	0.000
8	30.542	30.451	30.684	100968	23630	4.273	0.000	   	8	RT:30.542	5.276	1206267	0.124	1.225	8.492	1.039	0	0	0.000	0.000
9	31.159	31.001	31.333	596591	122920	4.853	0.000	   	9	RT:31.159	5.403	1034022	0.145	0.965	5.275	1.024	0	0	0.000	0.000
10	31.620	31.519	31.804	94192	18023	5.226	0.000	   	10	RT:31.620	5.498	878839	0.171	1.447	3.583	1.018	0	0	0.000	0.000
11	31.886	31.804	31.986	19209	4175	4.601	0.000	 V 	11	RT:31.886	5.552	1049809	0.143	1.088	2.055	1.010	0	0	0.000	0.000
12	32.056	31.991	32.154	11020	1859	5.929	0.000	   	12	RT:32.056	5.587	756906	0.198	0.000	1.247	1.006	0	0	0.000	0.000
13	32.238	32.154	32.327	61729	14632	4.219	0.000	 V 	13	RT:32.238	5.625	1407306	0.107	0.000	1.419	1.007	0	0	0.000	0.000
14	32.625	32.532	32.863	112240	20436	5.492	0.000	   	14	RT:32.625	5.704	1263448	0.119	1.824	3.446	1.014	0	0	0.000	0.000
15	33.099	33.022	33.246	20552	3956	5.196	0.000	   	15	RT:33.099	5.802	1026374	0.146	1.528	3.840	1.017	0	0	0.000	0.000
16	33.571	33.423	33.629	213073	44377	4.801	0.000	   	16	RT:33.571	5.899	1062659	0.141	0.000	3.622	1.017	0	0	0.000	0.000
17	33.659	33.629	33.815	106865	24151	4.425	0.000	 V 	17	RT:33.659	5.917	503631	0.298	0.000	0.547	1.003	0	0	0.000	0.000
18	34.087	34.002	34.287	61657	11924	5.171	0.000	   	18	RT:34.087	6.005	1129414	0.133	1.551	2.694	1.015	0	0	0.000	0.000
19	34.562	34.441	34.651	252835	46928	5.388	0.000	   	19	RT:34.562	6.102	946063	0.159	0.000	3.509	1.016	0	0	0.000	0.000
20	34.679	34.651	34.758	29198	7310	3.994	0.000	 V 	20	RT:34.679	6.126	208459	0.720	0.000	0.524	1.004	0	0	0.000	0.000
21	34.813	34.758	34.875	22536	5199	4.334	0.000	 V 	21	RT:34.813	6.154	1345139	0.112	0.000	0.636	1.005	0	0	0.000	0.000
22	34.975	34.875	35.029	89375	13184	6.779	0.000	 V 	22	RT:34.975	6.187	271146	0.553	0.000	0.830	1.005	0	0	0.000	0.000
23	35.092	35.029	35.206	204301	33096	6.173	0.000	 V 	23	RT:35.092	6.211	591041	0.254	0.000	0.520	1.004	0	0	0.000	0.000
24	35.247	35.206	35.355	44133	10325	4.274	0.000	 V 	24	RT:35.247	6.243	1148625	0.131	0.000	0.985	1.005	0	0	0.000	0.000
