[Header]
Application Name	LabSolutions
Version	5.82
Data File Name	C:\LabSolutions\Data\A Legan\Data\gcd files\data_before_FS19\dec4_CF_5.gcd
Output Date	4/15/2022
Output Time	7:45:12 AM

[File Information]
Type	Data File
Generated	12/5/2018 3:09:30 AM
Generated by	Administrator
Modified	12/5/2018 4:14:20 AM
Modified by	Administrator

[Sample Information]
Operator Name	Administrator
Acquired	12/5/2018 3:14:16 AM
Sample Type	0:Unknown
Level	0
Sample Name	CF_5
Sample ID	CF_5
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	6
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\LabSolutions\Data\A Legan\data\dec4_CF_5.gcd
Method File	C:\LabSolutions\Data\A Legan\AWL Nov 6 ladder.gcm
Batch File	C:\LabSolutions\Data\A Legan\batch_AWL_dec4_overnight.gcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	GC-2014
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	DET#1
Detector Name	SFID1
# of Channels	1

[Peak Table(Ch1)]
# of Peaks	151
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	2.100	1.923	2.128	51350	13302	3.860	0.000	   			0.000	783	191.478	0.000	0.000	0.000	0	0	0.000	0.000
2	2.471	2.128	7.467	9084091660	404593925	22.452	0.000	SV 			0.177	425	352.772	1.682	0.953	0.000	0	0	0.000	0.000
3	4.873	4.779	5.138	691428	199292	3.469	0.000	TV 			1.321	50878	2.948	1.898	8.492	7.470	0	0	0.000	0.000
4	6.225	6.174	6.291	2549	644	3.960	0.000	TV 			1.965	54856	2.734	0.000	14.031	1.488	0	0	0.000	0.000
5	6.321	6.291	6.435	1124	237	4.750	0.000	TV 			2.011	24906	6.023	0.000	0.720	1.023	0	0	0.000	0.000
6	6.510	6.435	6.566	1216	378	3.218	0.000	TV 			2.101	90604	1.656	0.000	1.535	1.045	0	0	0.000	0.000
7	6.813	6.725	6.869	2029	428	4.741	0.000	TV 			2.245	61532	2.438	0.000	3.084	1.069	0	0	0.000	0.000
8	6.917	6.869	6.977	1814	472	3.844	0.000	TV 			2.295	77048	1.947	0.000	0.994	1.022	0	0	0.000	0.000
9	7.026	6.977	7.107	3238	892	3.630	0.000	TV 			2.346	88950	1.686	0.000	1.122	1.023	0	0	0.000	0.000
10	7.251	7.191	7.322	1002	219	4.568	0.000	TV 			2.453	55631	2.696	0.000	2.068	1.046	0	0	0.000	0.000
11	7.858	7.779	7.933	2124	517	4.105	0.000	   			2.743	83494	1.797	0.000	5.243	1.118	0	0	0.000	0.000
12	9.074	8.974	9.170	2241	468	4.786	0.000	 V 			3.322	98534	1.522	0.000	10.837	1.211	0	0	0.000	0.000
13	9.223	9.170	9.315	1736	402	4.314	0.000	 V 			3.393	111645	1.344	0.000	1.319	1.021	0	0	0.000	0.000
14	9.380	9.315	9.417	1288	283	4.543	0.000	 V 			3.467	38941	3.852	0.000	1.041	1.022	0	0	0.000	0.000
15	9.477	9.417	9.590	16392	4276	3.834	0.000	 V 			3.514	149435	1.004	0.000	0.676	1.013	0	0	0.000	0.000
