SAMPLE_ID	POLISTES_SPECIES	SEX	NEST	STATE	LAT	LON	YEAR	OG_FILENAME
PDOM_F_CO_001	DOMINULA	F	UNK	CO	39.06508333	-108.5857778	2016	Nov29_2018_box13_42.txt
PDOM_F_CO_002	DOMINULA	F	UNK	CO	39.06508333	-108.5857778	2016	Nov29_2018_box13_43.txt
PDOM_F_CO_003	DOMINULA	F	UNK	CO	39.07508333	-108.5514722	2016	Nov29_2018_box13_38.txt
PDOM_F_CO_004	DOMINULA	F	UNK	CO	39.07508333	-108.5514722	2016	Nov29_2018_box13_39.txt
PDOM_F_CO_005	DOMINULA	F	UNK	CO	39.07508333	-108.5514722	2016	Nov29_2018_box13_40.txt
PDOM_F_CO_006	DOMINULA	F	UNK	CO	39.55955556	-107.3623056	2016	box13_52_Nov28_2018.txt
PDOM_F_CO_007	DOMINULA	F	UNK	CO	39.55955556	-107.3623056	2016	Nov29_2018_box13_51.txt
PDOM_F_CO_008	DOMINULA	F	UNK	CO	39.98805556	-105.2269444	2016	box13_75_Nov28_2018.txt
PDOM_F_CO_009	DOMINULA	F	UNK	CO	39.98805556	-105.2269444	2016	Nov29_2018_box13_66.txt
PDOM_F_CO_010	DOMINULA	F	UNK	CO	39.98805556	-105.2269444	2016	Nov29_2018_box13_69.txt
PDOM_F_CO_011	DOMINULA	F	UNK	CO	39.98805556	-105.2269444	2016	Nov29_2018_box13_73.txt
PDOM_F_CO_012	DOMINULA	F	UNK	CO	40.03638889	-105.3497222	2016	box13_64_Nov28_2018.txt
PDOM_F_NY_013	DOMINULA	F	UNK	NY	42.233389	-76.344732	2017	CF_15_Nov_7_2018.txt
PDOM_F_NY_014	DOMINULA	F	UNK	NY	42.233389	-76.344732	2017	CF_7_Nov_7_2018.txt
PDOM_F_NY_015	DOMINULA	F	UNK	NY	42.233389	-76.344732	2017	dec4_CF_14.txt
PDOM_F_NY_016	DOMINULA	F	UNK	NY	42.233389	-76.344732	2017	dec4_CF_16.txt
PDOM_F_NY_017	DOMINULA	F	UNK	NY	42.233389	-76.344732	2017	dec4_CF_18.txt
PDOM_F_NY_018	DOMINULA	F	UNK	NY	42.233389	-76.344732	2017	dec4_CF_4.txt
PDOM_F_NY_019	DOMINULA	F	UNK	NY	42.233389	-76.344732	2017	dec4_CF_5.txt
PDOM_F_NY_020	DOMINULA	F	UNK	NY	42.233389	-76.344732	2017	dec4_CF_6.txt
PDOM_F_NY_021	DOMINULA	F	UNK	NY	42.233389	-76.344732	2017	Pdom_CF_2_nov_14.txt
PDOM_F_NY_022	DOMINULA	F	UNK	NY	42.233389	-76.344732	2017	Pdom_CF_8_nov_14.txt
PDOM_M_CO_023	DOMINULA	M	UNK	CO	39.06508333	-108.5857778	2016	Nov29_2018_box13_41.txt
PDOM_M_NY_024	DOMINULA	M	UNK	NY	42.233389	-76.344732	2017	CF_9_nov_8_2018.txt
PDOM_M_NY_025	DOMINULA	M	UNK	NY	42.233389	-76.344732	2017	Pdom_CF_12_nov_14.txt
PEXC_F_NM_026	EXCLAMANS	F	ZC	NM	33.12894444	-107.24975	2016	box13_30_Nov28_2018.txt
PEXC_F_NM_027	EXCLAMANS	F	ZC	NM	33.12894444	-107.24975	2016	Nov29_2018_box13_31.txt
PEXC_F_TN_028	EXCLAMANS	F	G	TN	36.059037	-89.390474	2017	17Dec12_55_nov_9_2018.txt
PEXC_F_TN_029	EXCLAMANS	F	G	TN	36.059037	-89.390474	2017	17Dec12_58_nov_9_2018.txt
PEXC_F_TN_030	EXCLAMANS	F	A	TN	36.130911	-89.267369	2017	17_Dec_12_44_nov_10.txt
PEXC_F_TN_031	EXCLAMANS	F	A	TN	36.130911	-89.267369	2017	17Dec12_41_nov_12_2018.txt
PEXC_F_TN_032	EXCLAMANS	F	A	TN	36.130911	-89.267369	2017	17Dec12_42_nov_12_2018.txt
PEXC_F_TN_033	EXCLAMANS	F	A	TN	36.130911	-89.267369	2017	17Dec12_45_nov_12_2018.txt
